"","Status","FWS.Total","Other.Fed","Fed.Total","States.Total","Species.Total","Year"
"137","E",25034,2000,27034,0,27034,2004
"138","T",917618,4299377,5216995,60000,5276995,2004
"139","T",3271177,3064943,6336120,644450,6980570,2004
"140","E",24617,3004447,3029064,60000,3089064,2004
"141","E",990500,383000,1373500,2e+05,1573500,2004
"142","E",26534,4950,31484,60000,91484,2004
"143","E",292994,438948,731942,47650,779592,2004
"144","E",81707,335899,417606,0,417606,2004
"145","E",20000,0,20000,25500,45500,2004
"146","E",249100,145076,394176,30400,424576,2004
"147","T",496128,2686877,3183005,306400,3489405,2004
"148","T",1367320,3116194,4483514,47100,4530614,2004
"149","E",30203,2000,32203,35000,67203,2004
"150","E",53000,19581,72581,0,72581,2004
"151","E",287090,250500,537590,120000,657590,2004
"152","E",132027,124925,256952,40000,296952,2004
"153","E",9338,206000,215338,0,215338,2004
"154","EXPN",244190,18600,262790,0,262790,2004
"155","E",44341,236227,280568,8000,288568,2004
"156","E",40796,485200,525996,8000,533996,2004
"157","T",130883,8071,138954,8000,146954,2004
"158","E",23380,0,23380,500,23880,2004
"159","E",8000,723274,731274,0,731274,2004
"160","E",20500,98500,119000,16000,135000,2004
"161","T",90,67755,67845,0,67845,2004
"162","E",115402,59444,174846,0,174846,2004
"163","E",451500,709900,1161400,18300,1179700,2004
"164","E",40143,223776,263919,26000,289919,2004
"165","E",279743,1217518,1497261,35000,1532261,2004
"166","E",477115,2291274,2768389,104600,2872989,2004
"167","E",10500,6700,17200,58475,75675,2004
"168","T",14500,7620,22120,700,22820,2004
"169","E",667,0,667,0,NA,2004
"170","E",667,0,667,0,NA,2004
"171","E",5336,0,5336,55000,60336,2004
"172","T",2019,31000,33019,1000,34019,2004
"173","E",2250000,2251463,4501463,105000,4606463,2004
"174","E",175694,743785,919479,3000,922479,2004
"175","E",600,21300,21900,0,21900,2004
"176","E",2221000,2231326,4452326,0,4452326,2004
"177","E",146900,552400,699300,68200,767500,2004
"178","E",11334,1100,12434,38500,50934,2004
"179","E",1001,0,1001,0,1001,2004
"180","E",133743,31200,164943,0,164943,2004
"181","E",0,19800,19800,20000,39800,2004
"182","E",2096000,11680785,13776785,348300,14125085,2004
"183","E",667,0,667,0,NA,2004
"184","E",667,0,667,0,NA,2004
"185","SAT",18478,180832,199310,0,199310,2004
"186","E",1000,0,1000,0,1000,2004
"187","T",2000,0,2000,0,2000,2004
"188","E",25000,128073,153073,0,153073,2004
"189","E",4000,0,4000,0,4000,2004
"190","E",20000,0,20000,0,20000,2004
"191","E",32400,102200,134600,0,134600,2004
"192","E",1000,0,1000,0,1000,2004
"193","T",6000,0,6000,21000,27000,2004
"194","E",37858,236600,274458,45000,319458,2004
"195","T",156332,13000,169332,1000,170332,2004
"196","T",23773,13564,37337,0,37337,2004
"197","E",0,500,500,0,NA,2004
"198","T",25000,76300,101300,3000,104300,2004
"199","E",2e+05,2010904,2210904,600,2211504,2004
"200","T",81454,2388764,2470218,32000,2502218,2004
"201","E",160056,2756678,2916734,32900,2949634,2004
"202","E",410000,3875616,4285616,9550,4295166,2004
"203","E",231000,6968615,7199615,23600,7223215,2004
"204","T",778600,6332519,7111119,363000,7474119,2004
"205","T",200,2214590,2214790,0,2214790,2004
"206","T",22200,0,22200,0,22200,2004
"207","T",7700,39500,47200,0,47200,2004
"208","T",600,100,700,0,NA,2004
"209","T",0,19647,19647,0,19647,2004
"210","T",19500,4810,24310,8000,32310,2004
"211","T",276000,325779,601779,2750,604529,2004
"212","T",95214,1414609,1509823,5000,1514823,2004
"213","T",57000,4000,61000,11350,72350,2004
"214","E",90207,78196,168403,5000,173403,2004
"215","SAT",48090,28200,76290,22000,98290,2004
"216","T",1040749,4247114,5287863,125800,5413663,2004
"217","T",109500,1944600,2054100,48000,2102100,2004
"218","E",9500,1200,10700,0,10700,2004
"219","T",12500,1126060,1138560,170150,1308710,2004
"220","SAT",0,1900,1900,39250,41150,2004
"221","T",2100,3000,5100,0,5100,2004
"222","T",0,450,450,5000,5450,2004
"223","T",17500,8000,25500,5000,30500,2004
"224","T",18373,5328,23701,1000,24701,2004
"225","T",663686,907263,1570949,6000,1576949,2004
"226","T",336500,171350,507850,12000,519850,2004
"227","E",113500,444200,557700,32000,589700,2004
"228","E",49969,166008,215977,5000,220977,2004
"229","T",20000,0,20000,0,20000,2004
"230","E",1876000,6500,1882500,2000,1884500,2004
"231","T",822028,419100,1241128,20000,1261128,2004
"232","T",5000,2000,7000,6100,13100,2004
"233","T",150700,161610,312310,149300,461610,2004
"234","T",54900,1000,55900,0,55900,2004
"235","T",15000,3850,18850,0,18850,2004
"236","E",54568,8063,62631,1000,63631,2004
"237","E",0,0,0,800,NA,2004
"238","E",13000,87200,100200,14000,114200,2004
"239","E",15000,3850,18850,0,18850,2004
"240","E",665727,393992,1059719,3000,1062719,2004
"241","E",115000,4040,119040,68000,187040,2004
"242","T",40000,0,40000,0,40000,2004
"243","E",111830,24937,136767,104500,241267,2004
"244","T",2000,0,2000,1000,3000,2004
"245","E",400,3000,3400,0,3400,2004
"246","T",230000,0,230000,14500,244500,2004
"247","E",277117,4437649,4714766,149800,4864566,2004
"248","E",17646,1000,18646,1100,19746,2004
"249","T",0,0,0,1000,1000,2004
"250","E",301761,6219245,6521006,149000,6670006,2004
"251","T",10056,0,10056,1000,11056,2004
"252","E",13520,112000,125520,0,125520,2004
"253","E",353204,45008,398212,0,398212,2004
"254","E",53393,19000,72393,0,72393,2004
"255","E",18500,0,18500,1000,19500,2004
"256","T",20500,0,20500,500,21000,2004
"257","T",14000,6000,20000,6000,26000,2004
"258","T",182400,15349,197749,19200,216949,2004
"259","EXPN",7500,0,7500,0,7500,2004
"260","E",395400,67333,462733,12800,475533,2004
"261","E",5500,8000,13500,1000,14500,2004
"262","E",164700,581871,746571,0,746571,2004
"263","E",17200,0,17200,2200,19400,2004
"264","T",61000,900,61900,0,61900,2004
"265","E",1600,0,1600,0,1600,2004
"266","T",32323,49785,82108,2000,84108,2004
"267","T",10056,0,10056,5500,15556,2004
"268","E",925,6000,6925,0,6925,2004
"269","E",138840,15333,154173,3100,157273,2004
"270","E",163000,1500,164500,3000,167500,2004
"271","T",0,1070,1070,10000,11070,2004
"272","E",30900,0,30900,0,30900,2004
"273","E",35000,0,35000,7000,42000,2004
"274","T",195500,103600,299100,0,299100,2004
"275","E",25900,4310,30210,0,30210,2004
"276","EXPN",7500,0,7500,0,7500,2004
"277","E",233000,1500,234500,0,234500,2004
"278","E",25000,4370,29370,0,29370,2004
"279","T",24500,1200,25700,0,25700,2004
"280","T",32800,34971,67771,800,68571,2004
"281","T",85500,0,85500,76000,161500,2004
"282","E",97000,915423,1012423,0,1012423,2004
"283","E",67500,0,67500,0,67500,2004
"284","T",5000,67000,72000,0,72000,2004
"285","T",87000,14100,101100,0,101100,2004
"286","E",10000,0,10000,0,10000,2004
"287","E",1300,0,1300,0,1300,2004
"288","E",7000,10500,17500,0,17500,2004
"289","E",3000,0,3000,0,3000,2004
"290","E",41000,25650,66650,100,66750,2004
"291","E",0,1020,1020,0,1020,2004
"292","E",287703,286106,573809,17000,590809,2004
"293","E",4500,3000,7500,0,7500,2004
"294","E",0,55200,55200,20000,75200,2004
"295","T",34400,209138,243538,5700,249238,2004
"296","E",8500,600,9100,7000,16100,2004
"297","E",13000,0,13000,0,13000,2004
"298","E",8500,2800,11300,3500,14800,2004
"299","EXPN",6500,0,6500,3500,10000,2004
"300","T",17900,2800,20700,2500,23200,2004
"301","EXPN",200,0,200,5000,5200,2004
"302","EXPN",300,0,300,2600,2900,2004
"303","T",20000,500,20500,25000,45500,2004
"304","T",111000,420600,531600,3200,534800,2004
"305","E",225000,7837562,8062562,11000,8073562,2004
"306","E",172000,5136746,5308746,8000,5316746,2004
"307","EXPN",243972,12100,256072,160500,416572,2004
"308","E",13250,0,13250,3100,16350,2004
"309","E",6900,0,6900,2200,9100,2004
"310","E",15000,23500,38500,0,38500,2004
"311","E",129496,128449,257945,12000,269945,2004
"312","E",42170,89250,131420,6400,137820,2004
"313","E",17000,500,17500,0,17500,2004
"314","E",53393,11000,64393,0,64393,2004
"315","E",1800,0,1800,2200,4000,2004
